type,cost_before,user,cost_after,cost_delta,cost_delta_per
bunka,612415684.3839,185992.0521,574785264,-37630420.38390005,-202.32273346641594
byoin,3691240529.558761,1960094.616,3472072474,-219168055.55876112,-111.81503880971893
jido,193027431.67037272,61377.2669,182429391,-10598040.670372725,-172.6704561094219
kominkan,876351699.3612868,372917.5408,807693921,-68657778.36128676,-184.10981208874998
sangyoshinko,376605596.8701123,53189.2583,165786110,-210819486.8701123,-3963.5726010887483
shiminkatsudo,244290099.9789717,90454.4026,237117969,-7172130.97897169,-79.29001544223
shiryokanto,156650280.6221129,35178.7733,113022067,-43628213.6221129,-1240.1857577595777
sports,1747372783.441368,561641.24,1628641464,-118731319.4413681,-211.40064330277474
super,40446794057.05633,10341017.6218,32339745132,-8107048925.056328,-783.9701295901265
toshokan,1187823151.0858634,645501.2961,1187823151,-0.08586335182189941,-1.3301809359744122e-7
