type,num,data,area_after,rat,lnrat
bunka,0,5716,7789.981,1.363 ,0.309569161
bunka,1,3158,1084.019,0.343 ,-1.069263485
byoin,0,287,52.74168,0.184 ,-1.694076181
byoin,1,47,53.5827,1.140 ,0.131078653
byoin,2,55,92.24684,1.677 ,0.517134842
byoin,3,109,154.22377,1.415 ,0.347056717
byoin,4,51,133.31243,2.614 ,0.960869838
byoin,5,42,104.8926,2.497 ,0.915267351
jido,0,418,865.8886,2.072 ,0.72827483
jido,1,515,67.1114,0.130 ,-2.037812975
kominkan,0,1860,1188.787,0.639 ,-0.447643028
kominkan,1,1110,415.3997,0.374 ,-0.982874105
kominkan,2,368,578.2893,1.571 ,0.451991324
kominkan,3,450,1087.967,2.418 ,0.882818513
kominkan,4,419,1936.1,4.621 ,1.530559999
kominkan,5,508,390.2561,0.768 ,-0.263678257
kominkan,6,399,107.7406,0.270 ,-1.309234931
kominkan,7,369,1.56E-04,0.000 ,
kominkan,8,383,1.78E-04,0.000 ,
kominkan,9,379,14.21468,0.038 ,-3.283260972
kominkan,10,569,1564.071,2.749 ,1.011166882
kominkan,11,402,130.6565,0.325 ,-1.123880347
kominkan,12,327,129.5178,0.396 ,-0.926141847
sangyoshinko,0,248,5.89E-06,0.000 ,
sangyoshinko,1,249,5.39E-06,0.000 ,
sangyoshinko,2,318,815,2.563 ,0.94113673
shiminkatsudo,0,1081,1034.0077,0.957 ,-0.044444316
shiminkatsudo,1,624,426.9638,0.684 ,-0.379451136
shiminkatsudo,2,653,1195.745,1.831 ,0.604947572
shiminkatsudo,3,350,51.2835,0.147 ,-1.920564091
shiryokanto,0,368,710,1.929 ,0.657182032
shiryokanto,1,176,1.54E-05,0.000 ,
shiryokanto,2,166,1.54E-05,0.000 ,
sports,0,2452,10677.92,4.355 ,1.47127404
sports,1,256,6.73E-04,0.000 ,
sports,2,1236,0.004377684,0.000 ,
sports,3,1176,1371.831,1.167 ,0.154027494
sports,4,7521,1652.721,0.220 ,-1.515276087
sports,5,4439,3377.523,0.761 ,-0.273286525
super,0,11070,18234.05,1.647 ,0.499051979
super,1,5278,2.01E-04,0.000 ,
super,2,12886,16748.95,1.300 ,0.262194119
super,3,1693,4.96E-04,0.000 ,
super,4,4056,0,0.000 ,
toshokan,0,2599,2599,1.000 ,0
toshokan,1,409,409,1.000 ,0
