type,num,user.x,distance,share,use_rate.x,longitude.x,latitude.x,age_as_of_2014.x,area_m2.x,rental_room_operation_rate,user.y,hospital_bed,general_hospital_bed,care_hospital_bed
bunka,0,22762.5679,61587420.57,0.122384627,0.735,139.1884,36.227135,34,5716,23.70%,113377,NA,NA,NA
bunka,1,163229.4842,589484992,0.877615373,0.265,139.115585,36.189682,19,3158,39.70%,40906,NA,NA,NA
byoin,0,88304.511,180821710.7,0.045051147,0.42,139.187729,36.225986,25,NA,NA,NA,287,183,102
byoin,1,11933.861,28132875.72,0.006088411,0.124,139.165848,36.249104,11,NA,NA,NA,47,47,0
byoin,2,1228453.459,4669165061,0.626731714,0.12,139.136414,36.185219,33,NA,NA,NA,55,55,0
byoin,3,60201.339,113849721,0.030713486,0.12,139.191116,36.22617,5,NA,NA,NA,109,76,33
byoin,4,7263.829,15967847.43,0.003705856,0.102,139.179169,36.246506,24,NA,NA,NA,51,22,29
byoin,5,563937.617,1785862046,0.287709385,0.115,139.130249,36.194035,55,NA,NA,NA,42,42,0
jido,0,59372.6411,554371751.1,0.967339279,0.492,139.180832,36.237213,34,418,-,19800,NA,NA,NA
jido,1,2004.6258,4109905.051,0.032660721,0.508,139.2005,36.235245,30,515,-,20436,NA,NA,NA
kominkan,0,3226.4527,1977605.688,0.00865192,0.304,139.1884,36.227135,39,1860,21.00%,52479,NA,NA,NA
kominkan,1,191377.2686,675019709,0.513189238,0.057,139.115585,36.189682,19,1110,12.90%,9822,NA,NA,NA
kominkan,2,257.6901,156476.1542,6.91E-04,0.07,139.19664,36.243629,32,368,26.60%,12045,NA,NA,NA
kominkan,3,2766.9082,2388941.783,0.007419625,0.077,139.200684,36.233234,24,450,20.80%,13321,NA,NA,NA
kominkan,4,368.239,426672.8656,9.87E-04,0.095,139.172073,36.245785,26,419,27.80%,16422,NA,NA,NA
kominkan,5,7976.2615,6751219.206,0.021388808,0.084,139.164383,36.226948,25,508,22.60%,14477,NA,NA,NA
kominkan,6,2601.6654,3197513.756,0.006976517,0.043,139.227264,36.23555,32,399,13.00%,7472,NA,NA,NA
kominkan,7,1402.2878,1690507.981,0.003760316,0.036,139.209244,36.247749,33,369,9.80%,6246,NA,NA,NA
kominkan,8,1027.6446,603147.2277,0.002755689,0.018,139.175659,36.259705,34,383,12.80%,3174,NA,NA,NA
kominkan,9,8584.8822,7258628.202,0.023020859,0.078,139.189102,36.21664,35,379,27.90%,13482,NA,NA,NA
kominkan,10,97309.9018,357340972,0.260942142,0.057,139.134216,36.189354,50,569,21.30%,9796,NA,NA,NA
kominkan,11,44660.2859,49425526.44,0.119759145,0.044,139.150848,36.209389,35,402,14.70%,7612,NA,NA,NA
kominkan,12,11358.053,15022925.97,0.030457277,0.035,139.135406,36.190022,43,327,11.60%,6000,NA,NA,NA
sangyoshinko,0,31637.2912,65634617.38,0.594806023,0.25,139.121613,36.166382,23,248,-,9234,NA,NA,NA
sangyoshinko,1,13823.4238,28870485.31,0.259891268,0.523,139.088654,36.15387,10,249,-,19280,NA,NA,NA
sangyoshinko,2,7728.5433,26476609.59,0.145302709,0.227,139.188797,36.235722,19,318,41.20%,8371,NA,NA,NA
shiminkatsudo,0,3789.4788,8654641.804,0.041893802,0.538,139.186768,36.234165,34,1081,41.00%,35605,NA,NA,NA
shiminkatsudo,1,134.4908,125201.4023,0.001486835,0.243,139.17099,36.242271,44,624,20.50%,16092,NA,NA,NA
shiminkatsudo,2,86191.7998,616510580.2,0.952875674,0.108,139.159271,36.223026,14,653,57.50%,7139,NA,NA,NA
shiminkatsudo,3,338.6332,428781.2706,0.00374369,0.112,139.178513,36.258232,29,350,-,7391,NA,NA,NA
shiryokanto,0,2579.2006,7574260.796,0.073316957,0.374,139.184753,36.242146,131,368,-,3168,NA,NA,NA
shiryokanto,1,18930.1869,70071282.12,0.5381139,0.071,139.133759,36.191277,120,176,-,604,NA,NA,NA
shiryokanto,2,13669.3858,55472787,0.388569143,0.555,139.127274,36.194298,46,166,-,4707,NA,NA,NA
sports,0,19888.2872,57768692.93,0.035411016,0.191,139.17099,36.242271,35,2452,66.70%,45952,NA,NA,NA
sports,1,2720.966,5515158.946,0.004844669,0.022,139.179916,36.249748,33,256,42.90%,5348,NA,NA,NA
sports,2,0,0,0,0.12,139.179916,36.249748,28,1236,33.30%,28844,NA,NA,NA
sports,3,49847.6398,124597723.6,0.088753525,0.073,139.194916,36.218071,20,1176,25.00%,17487,NA,NA,NA
sports,4,0,0,0,0.429,139.194916,36.218071,13,7521,76.00%,103115,NA,NA,NA
sports,5,489184.347,1718104886,0.870990789,0.165,139.116074,36.188499,11,4439,60.00%,39792,NA,NA,NA
super,0,366425.7792,876810737.2,0.035434209,0.222,139.182907,36.237713,24,11070,NA,NA,NA,NA,NA
super,1,996589.4617,1739361035,0.096372475,0.165,139.12915,36.199036,3,5278,NA,NA,NA,NA,NA
super,2,380886.9132,924335462.4,0.036832634,0.243,139.191696,36.237656,33,12886,NA,NA,NA,NA,NA
super,3,7642195.35,30190886161,0.739017728,0.273,139.130875,36.187386,16,1693,NA,NA,NA,NA,NA
super,4,954920.1181,1710505253,0.092342954,0.096,139.143204,36.190804,18,4056,NA,NA,NA,NA,NA
toshokan,0,61096.8815,195637058.2,0.094650285,0.757,139.18158,36.241779,33,2599,-,218090,NA,NA,NA
toshokan,1,584404.4146,2114282341,0.905349715,0.243,139.115585,36.189682,19,409,-,70118,NA,NA,NA
