type,num,longitude,latitude
kominkan,0,139.1884,36.227135
kominkan,1,139.115585,36.189682
kominkan,2,139.19664,36.243629
kominkan,3,139.200684,36.233234
kominkan,4,139.172073,36.245785
kominkan,5,139.164383,36.226948
kominkan,6,139.227264,36.23555
kominkan,7,139.209244,36.247749
kominkan,8,139.175659,36.259705
kominkan,9,139.189102,36.21664
kominkan,10,139.134216,36.189354
kominkan,11,139.150848,36.209389
kominkan,12,139.135406,36.190022
shiminkatsudo,0,139.186768,36.234165
shiminkatsudo,1,139.17099,36.242271
shiminkatsudo,2,139.159271,36.223026
shiminkatsudo,3,139.178513,36.258232
bunka,0,139.1884,36.227135
bunka,1,139.115585,36.189682
sports,0,139.17099,36.242271
sports,1,139.179916,36.249748
sports,2,139.179916,36.249748
sports,3,139.194916,36.218071
sports,4,139.194916,36.218071
sports,5,139.116074,36.188499
sangyoshinko,0,139.121613,36.166382
sangyoshinko,1,139.088654,36.15387
sangyoshinko,2,139.188797,36.235722
toshokan,0,139.18158,36.241779
toshokan,1,139.115585,36.189682
shiryokanto,0,139.184753,36.242146
shiryokanto,1,139.133759,36.191277
shiryokanto,2,139.127274,36.194298
jido,0,139.180832,36.237213
jido,1,139.2005,36.235245
byoin,0,139.187729,36.225986
byoin,1,139.165848,36.249104
byoin,2,139.136414,36.185219
byoin,3,139.191116,36.22617
byoin,4,139.179169,36.246506
byoin,5,139.130249,36.194035
super,0,139.182907,36.237713
super,1,139.12915,36.199036
super,2,139.191696,36.237656
super,3,139.130875,36.187386
super,4,139.143204,36.190804
