type,name,use_rate,longitude,latitude,age_as_of_2014,area_m2,rental_room_operation_rate,user
公民館,中央公民館,30.4%,139.1884,36.227135,39,1860,21.0%,52479
公民館,児玉中央公民館,5.7%,139.115585,36.189682,19,1110,12.9%,9822
公民館,本庄公民館,7.0%,139.19664,36.243629,32,368,26.6%,12045
公民館,本庄東公民館,7.7%,139.200684,36.233234,24,450,20.8%,13321
公民館,本庄西公民館,9.5%,139.172073,36.245785,26,419,27.8%,16422
公民館,本庄南公民館,8.4%,139.164383,36.226948,25,508,22.6%,14477
公民館,藤田公民館,4.3%,139.227264,36.23555,32,399,13.0%,7472
公民館,仁手公民館,3.6%,139.209244,36.247749,33,369,9.8%,6246
公民館,旭公民館,1.8%,139.175659,36.259705,34,383,12.8%,3174
公民館,北泉公民館,7.8%,139.189102,36.21664,35,379,27.9%,13482
公民館,児玉公民館,5.7%,139.134216,36.189354,50,569,21.3%,9796
公民館,共和公民館,4.4%,139.150848,36.209389,35,402,14.7%,7612
公民館,児玉公民館別館,3.5%,139.135406,36.190022,43,327,11.6%,6000
市民活動施設,コミュニティセンター,53.8%,139.186768,36.234165,34,1081,41.0%,35605
市民活動施設,勤労青少年ホーム,24.3%,139.17099,36.242271,44,624,20.5%,16092
市民活動施設,いまい台交流センター,10.8%,139.159271,36.223026,14,653,57.5%,7139
市民活動施設,あさひ公民館多目的研修センター,11.2%,139.178513,36.258232,29,350,-,7391
文化施設,市民文化会館,73.5%,139.1884,36.227135,34,5716,23.7%,113377
文化施設,児玉文化会館(セルディ),26.5%,139.115585,36.189682,19,3158,39.7%,40906
スポーツ施設,市民体育館,19.1%,139.17099,36.242271,35,2452,66.7%,45952
スポーツ施設,若泉運動公園弓道場,2.2%,139.179916,36.249748,33,256,42.9%,5348
スポーツ施設,若泉運動公園武道館,12.0%,139.179916,36.249748,28,1236,33.3%,28844
スポーツ施設,市民球場,7.3%,139.194916,36.218071,20,1176,25.0%,17487
スポーツ施設,本庄総合公園体育館(シルクドーム),42.9%,139.194916,36.218071,13,7521,76.0%,103115
スポーツ施設,児玉総合公園体育館(エコーピア),16.5%,139.116074,36.188499,11,4439,60.0%,39792
産業振興施設,観光農業センター,25.0%,139.121613,36.166382,23,248,-,9234
産業振興施設,ふれあいの里いずみ亭,52.3%,139.088654,36.15387,10,249,-,19280
産業振興施設,インフォメーションセンター,22.7%,139.188797,36.235722,19,318,41.2%,8371
図書館,図書館,75.7%,139.18158,36.241779,33,2599,-,218090
図書館,図書館児玉分館,24.3%,139.115585,36.189682,19,409,-,70118
資料館等,歴史民俗資料館,37.4%,139.184753,36.242146,131,368,-,3168
資料館等,競進社模範蚕室,7.1%,139.133759,36.191277,120,176,-,604
資料館等,塙保乙一記念館,55.5%,139.127274,36.194298,46,166,-,4707
児童施設,前原児童センター,49.2%,139.180832,36.237213,34,418,-,19800
児童施設,日の出児童センター,50.8%,139.2005,36.235245,30,515,-,20436
