type,mesh_code,disp,sd
bunka,5439104543,0.004654052,0.068220612
bunka,5439104631,0.004873081,0.069807457
bunka,5439104633,0.004441956,0.066648
bunka,5439105512,0.004395808,0.066300889
bunka,5439105611,0.004016761,0.063377925
bunka,5439105613,0.003599269,0.059993908
bunka,5439105631,0.003191439,0.056492827
bunka,5439105634,0.002681085,0.051779191
bunka,5439106524,0.002199044,0.046893968
bunka,5439106534,0.001916722,0.043780386
bunka,5439106612,0.002291021,0.047864614
bunka,5439106634,0.001242922,0.035255093
bunka,5439107621,8.31E-04,0.02882124
bunka,5439107644,1.18E-04,0.010858187
bunka,5439108622,2.49E-05,0.004993571
bunka,5439108624,1.19E-06,0.001089665
bunka,5439108711,5.25E-06,0.002290769
bunka,5439108743,6.39E-04,0.025281127
bunka,5439108744,7.81E-04,0.027941323
bunka,5439109614,2.47E-04,0.015700871
bunka,5439109624,7.53E-04,0.02743458
bunka,5439109713,0.001092003,0.033045463
bunka,5439109722,0.001388454,0.03726197
bunka,5439109724,0.002223397,0.047152914
bunka,5439109731,0.001668705,0.040849785
bunka,5439109813,0.002531934,0.050318324
bunka,5439109821,0.00170658,0.041310776
bunka,5439109831,0.003803526,0.061672736
bunka,5439109833,0.005450064,0.07382455
bunka,5439109844,0.006366199,0.079788461
bunka,5439109924,9.90E-04,0.031468322
bunka,5439109933,0.006022001,0.077601552
bunka,5439109934,0.005327611,0.072990485
bunka,5439109942,0.001891006,0.043485697
bunka,5439109944,0.003209413,0.056651682
bunka,5439119013,4.93E-04,0.022202953
bunka,5439119031,0.001108486,0.033293938
bunka,5439119033,0.002056893,0.045352985
bunka,5439119131,3.62E-04,0.019013443
bunka,5439119133,1.54E-04,0.012420888
bunka,5439200812,0.00842651,0.091796022
bunka,5439200821,0.009009319,0.094917433
bunka,5439200822,0.009164073,0.095729164
bunka,5439200824,0.012859851,0.113401283
bunka,5439200842,0.017716594,0.133103698
bunka,5439200911,0.008810105,0.093862161
bunka,5439200913,0.012543362,0.111997152
bunka,5439200922,0.005058666,0.071124298
bunka,5439200924,0.007584033,0.087086353
bunka,5439200931,0.017521901,0.132370317
bunka,5439200932,0.016214527,0.127336276
bunka,5439200933,0.024166879,0.155457
bunka,5439200934,0.022589669,0.1502986
bunka,5439200941,0.013919941,0.117982801
bunka,5439200942,0.010971775,0.104746243
bunka,5439200943,0.019515772,0.139698861
bunka,5439200944,0.015458863,0.124333674
bunka,5439201624,0.006514268,0.080711016
bunka,5439201641,0.005029951,0.07092215
bunka,5439201734,0.015663848,0.125155296
bunka,5439201742,0.025104335,0.158443476
bunka,5439201744,0.028881859,0.169946636
bunka,5439201824,0.04350529,0.208579219
bunka,5439201832,0.041198189,0.20297337
bunka,5439201834,0.050303496,0.224284409
bunka,5439201842,0.058125905,0.241093147
bunka,5439201844,0.077499054,0.27838652
bunka,5439201912,0.031198201,0.176630126
bunka,5439201913,0.04518628,0.212570646
bunka,5439201914,0.042942295,0.207225227
bunka,5439201923,0.037036286,0.192448138
bunka,5439201924,0.028962415,0.170183475
bunka,5439201933,0.085516009,0.292431204
bunka,5439201934,0.082399426,0.287053002
bunka,5439201941,0.050522891,0.224772976
bunka,5439201942,0.038675866,0.196661806
bunka,5439201944,0.050664688,0.225088177
bunka,5439202622,0.008387266,0.09158202
bunka,5439202623,0.005792454,0.076108176
bunka,5439202642,0.008506811,0.092232377
bunka,5439202643,0.00540311,0.073505849
bunka,5439202711,0.012012037,0.109599438
bunka,5439202712,0.016878786,0.129918381
bunka,5439202713,0.012400752,0.111358665
bunka,5439202714,0.017593322,0.132639819
bunka,5439202722,0.032157602,0.179325408
bunka,5439202723,0.024686491,0.157119352
bunka,5439202724,0.034452575,0.185614048
bunka,5439202731,0.012374844,0.111242277
bunka,5439202734,0.017117914,0.130835448
bunka,5439202742,0.035314733,0.187922145
bunka,5439202743,0.024339526,0.156011301
bunka,5439202744,0.034478086,0.185682757
bunka,5439202811,0.043896981,0.209516065
bunka,5439202813,0.048063757,0.21923448
bunka,5439202821,0.07965843,0.282238251
bunka,5439202822,0.102778674,0.320591133
bunka,5439202823,0.094892116,0.308045639
bunka,5439202824,0.133322957,0.365134163
bunka,5439202831,0.049980842,0.223563955
bunka,5439202832,0.07155658,0.267500616
bunka,5439202833,0.049002836,0.221365842
bunka,5439202834,0.070473093,0.265467686
bunka,5439202841,0.104807952,0.323740563
bunka,5439202842,0.159902581,0.399878207
bunka,5439202843,0.103791689,0.322167175
bunka,5439202844,0.159760643,0.399700692
bunka,5439202911,0.12023474,0.346748815
bunka,5439202912,0.11657556,0.341431633
bunka,5439202913,0.173980879,0.417110152
bunka,5439202921,0.09255232,0.304224129
bunka,5439202922,0.064481813,0.253932694
bunka,5439202923,0.121661057,0.348799451
bunka,5439202924,0.078062856,0.279397309
bunka,5439202931,0.257681492,0.507623377
bunka,5439202933,0.264689912,0.514480234
bunka,5439202934,0.257643439,0.507585893
bunka,5439202942,0.086739044,0.294514931
bunka,5439202943,0.146380173,0.382596619
bunka,5439202944,0.085220013,0.29192467
bunka,5439203721,0.022630324,0.150433787
bunka,5439203722,0.031986961,0.178848989
bunka,5439203812,0.064083245,0.253146686
bunka,5439203813,0.039239529,0.1980897
bunka,5439203814,0.054221888,0.232855939
bunka,5439203821,0.091630096,0.302704634
bunka,5439203823,0.073959426,0.271954824
bunka,5439203824,0.097238054,0.311830168
bunka,5439203841,0.056152514,0.236965217
bunka,5439203842,0.069037066,0.262749055
bunka,5439203844,0.04762873,0.218240075
bunka,5439203912,0.170083314,0.412411583
bunka,5439203913,0.115250253,0.339485276
bunka,5439203914,0.111025015,0.333204164
bunka,5439203922,0.073412079,0.270946634
bunka,5439203931,0.076627072,0.276815953
bunka,5439203932,0.072896773,0.269994024
bunka,5439203942,0.04054547,0.201359056
bunka,5439203944,0.026999463,0.164315132
bunka,5439204824,0.020436086,0.142954839
bunka,5439204843,0.006710168,0.081915614
bunka,5439204913,0.020289341,0.142440658
bunka,5439204914,0.018047068,0.134339375
bunka,5439204931,0.011786198,0.108564258
bunka,5439204932,0.01003001,0.100149939
bunka,5439204941,0.00735225,0.085745262
bunka,5439210011,0.003420347,0.058483736
bunka,5439210024,4.06E-04,0.020138631
bunka,5439210031,0.007811422,0.088382248
bunka,5439210033,0.011093887,0.105327521
bunka,5439210034,0.007040351,0.0839068
bunka,5439210042,8.40E-04,0.028984975
bunka,5439210112,5.27E-04,0.022962816
bunka,5439210113,1.44E-06,0.001201898
bunka,5439210114,3.14E-04,0.017733502
bunka,5439210131,6.48E-05,0.008050536
bunka,5439210132,1.61E-04,0.012677437
bunka,5439210133,2.17E-04,0.014736207
bunka,5439210134,6.30E-05,0.007939118
bunka,5439210213,0.005211158,0.07218835
bunka,5439211011,0.015287792,0.123643811
bunka,5439211012,0.009750073,0.098742459
bunka,5439211013,0.020510284,0.143214119
bunka,5439211014,0.012995628,0.113998367
bunka,5439211023,0.007096529,0.084240901
bunka,5439211031,0.026784945,0.163661068
bunka,5439211032,0.016683544,0.129164793
bunka,5439211033,0.033903635,0.184129397
bunka,5439211034,0.020561676,0.143393431
bunka,5439211041,0.009043886,0.095099346
bunka,5439211042,0.003893485,0.062397794
bunka,5439211043,0.010950099,0.104642722
bunka,5439211044,0.004682396,0.068428034
bunka,5439211111,4.43E-04,0.021053134
bunka,5439211112,1.37E-05,0.003700974
bunka,5439211122,0.002494153,0.049941498
bunka,5439211133,0.001210997,0.034799386
bunka,5439211134,1.31E-05,0.003622234
bunka,5439211212,0.00835746,0.091419143
bunka,5439212011,0.041200259,0.20297847
bunka,5439212012,0.024153056,0.155412535
bunka,5439212013,0.047321848,0.217535854
bunka,5439212014,0.026753864,0.163566083
bunka,5439212021,0.012538815,0.111976849
bunka,5439212022,0.005248422,0.072445993
bunka,5439212023,0.013476812,0.116089673
bunka,5439212024,0.005449762,0.0738225
bunka,5439212031,0.050355006,0.224399212
bunka,5439212032,0.027596904,0.166123158
bunka,5439212033,0.048769667,0.220838553
bunka,5439212034,0.026204885,0.16187923
bunka,5439212041,0.013466031,0.116043228
bunka,5439212042,0.005186882,0.072020014
bunka,5439212043,0.012374255,0.111239627
bunka,5439212044,0.004451302,0.066718076
bunka,5439212111,0.001323478,0.036379631
bunka,5439212112,1.12E-05,0.003342846
bunka,5439212113,0.001280561,0.035784922
bunka,5439212114,1.57E-06,0.001251162
bunka,5439212121,7.31E-04,0.027037563
bunka,5439212122,0.003032317,0.055066477
bunka,5439212123,9.19E-04,0.030317656
bunka,5439212124,0.003519468,0.059325101
bunka,5439212131,0.001068864,0.032693491
bunka,5439212132,8.13E-06,0.002851552
bunka,5439212133,7.25E-04,0.026925659
bunka,5439212134,8.22E-05,0.009067793
bunka,5439212141,0.001243013,0.035256391
bunka,5439212142,0.004222809,0.06498314
bunka,5439212143,0.001756577,0.041911538
bunka,5439212144,0.005194312,0.072071573
bunka,5439212211,0.006559026,0.080987816
bunka,5439212213,0.007409043,0.086075797
bunka,5439212214,0.012276819,0.11080081
bunka,5439212231,0.008532393,0.092370951
bunka,5439212232,0.013846518,0.117671226
bunka,5439212233,0.009977633,0.099888104
bunka,5439212243,0.022327848,0.149425057
bunka,5439213011,0.042684406,0.206602047
bunka,5439213012,0.022718812,0.150727608
bunka,5439213013,0.033893323,0.184101393
bunka,5439213014,0.017881153,0.133720429
bunka,5439213021,0.010329655,0.101634911
bunka,5439213022,0.003352915,0.057904363
bunka,5439213023,0.007702379,0.087763197
bunka,5439213024,0.00210548,0.04588551
bunka,5439213031,0.024570524,0.156749878
bunka,5439213032,0.012671024,0.112565644
bunka,5439213034,0.00792167,0.089003761
bunka,5439213041,0.004978039,0.070555218
bunka,5439213042,9.74E-04,0.031212129
bunka,5439213043,0.002608461,0.051073098
bunka,5439213044,2.12E-04,0.014557128
bunka,5439213111,3.42E-04,0.018486721
bunka,5439213112,3.02E-04,0.017381891
bunka,5439213113,5.73E-05,0.007572259
bunka,5439213114,7.65E-04,0.027657184
bunka,5439213121,0.002526197,0.050261287
bunka,5439213122,0.006490757,0.080565232
bunka,5439213131,2.99E-05,0.005466343
bunka,5439213132,0.001572382,0.03965327
bunka,5439213133,4.07E-04,0.020181927
bunka,5439213213,0.014028138,0.11844044
bunka,5439213214,0.020898897,0.144564506
bunka,5439213222,0.032788638,0.181076331
bunka,5439214012,0.004152432,0.06443937
bunka,5439214014,0.001588545,0.039856552
bunka,5439214021,9.18E-04,0.030297943
bunka,5439214022,1.16E-05,0.003400459
bunka,5439214024,4.86E-04,0.022053796
bunka,5439214031,0.001793037,0.04234427
bunka,5439214033,2.86E-04,0.016901234
bunka,5439214034,5.06E-05,0.00711003
bunka,5439214043,0.001078699,0.032843553
bunka,5439214111,0.001302904,0.036095765
bunka,5439214113,0.002782466,0.052749081
bunka,5439214122,0.015932179,0.126222734
bunka,5439214123,0.012474607,0.111689778
bunka,5439214124,0.019495563,0.139626514
bunka,5439214132,0.009652628,0.09824779
bunka,5439214141,0.015922767,0.126185446
bunka,5439214143,0.019826616,0.140807016
bunka,5439214144,0.027984144,0.167284621
bunka,5439214211,0.02355596,0.15347951
bunka,5439214213,0.027705374,0.166449313
bunka,5439214214,0.036911283,0.192123092
bunka,5439214223,0.046921832,0.216614479
bunka,5439214231,0.032309997,0.179749818
bunka,5439214232,0.04210637,0.205198367
bunka,5439214233,0.037320384,0.193184844
bunka,5439214241,0.052746659,0.229666409
bunka,5439214242,0.064049582,0.25308019
bunka,5439214333,0.083548436,0.289047463
bunka,5439214543,0.17202071,0.414753794
bunka,5439215011,4.67E-05,0.006836642
bunka,5439215012,8.36E-04,0.028919165
bunka,5439215014,0.002445024,0.049447185
bunka,5439215021,0.002783195,0.052755991
bunka,5439215022,0.006044653,0.07774737
bunka,5439215023,0.005144582,0.071725743
bunka,5439215032,0.004714338,0.068661039
bunka,5439215033,0.004657944,0.06824913
bunka,5439215042,0.012527212,0.11192503
bunka,5439215044,0.016302898,0.127682804
bunka,5439215111,0.01069277,0.103405852
bunka,5439215112,0.016733382,0.129357573
bunka,5439215113,0.014304654,0.119602065
bunka,5439215121,0.024126223,0.155326183
bunka,5439215122,0.032801003,0.181110471
bunka,5439215123,0.028744669,0.16954253
bunka,5439215124,0.037897776,0.194673512
bunka,5439215133,0.022468452,0.149894803
bunka,5439215143,0.038575993,0.196407722
bunka,5439215211,0.042667725,0.206561673
bunka,5439215213,0.048266077,0.219695419
bunka,5439215214,0.059774224,0.244487676
bunka,5439215223,0.072330603,0.268943494
bunka,5439215224,0.085821612,0.292953259
bunka,5439215232,0.066050096,0.257002133
bunka,5439215241,0.079225938,0.281471025
bunka,5439215242,0.09346402,0.305718858
bunka,5439215243,0.086086656,0.293405277
bunka,5439215311,0.091681632,0.302789748
bunka,5439215312,0.105513759,0.324828815
bunka,5439215313,0.100100442,0.316386539
bunka,5439215314,0.114969516,0.33907155
bunka,5439215331,0.10865351,0.329626318
bunka,5439215332,0.124631331,0.353031628
bunka,5439215333,0.117151586,0.342274138
bunka,5439215422,0.176732223,0.420395317
bunka,5439215424,0.193258976,0.439612302
bunka,5439215443,0.221508249,0.470646628
bunka,5439215444,0.232564645,0.482249567
bunka,5439215511,0.182228914,0.426882788
bunka,5439215531,0.217367574,0.466226955
bunka,5439215532,0.218818094,0.467779963
bunka,5439215533,0.23835125,0.4882123
bunka,5439215534,0.238607124,0.488474282
bunka,5439216022,0.020295742,0.142463125
bunka,5439216112,0.034579032,0.185954381
bunka,5439216121,0.043595664,0.208795747
bunka,5439216133,0.039925626,0.199813977
bunka,5439216134,0.048336146,0.21985483
bunka,5439216141,0.053371637,0.231023023
bunka,5439216143,0.057960653,0.240750187
bunka,5439216144,0.06886866,0.26242839
bunka,5439216232,0.089849786,0.299749539
bunka,5439216233,0.081134715,0.284841561
bunka,5439216234,0.094844401,0.307968182
bunka,5439216241,0.104912275,0.323901645
bunka,5439216243,0.110101555,0.331815544
bunka,5439216313,0.133057849,0.364770954
bunka,5439216314,0.152408727,0.390395603
bunka,5439216323,0.173374784,0.416382977
bunka,5439216332,0.160199892,0.400249787
bunka,5439216334,0.166675444,0.40825904
bunka,5439216341,0.18247276,0.427168304
bunka,5439216342,0.206932862,0.454898739
bunka,5439216344,0.215881998,0.464631034
bunka,5439216422,0.256201321,0.506163334
bunka,5439216424,0.28333889,0.532295867
bunka,5439216431,0.233639213,0.483362404
bunka,5439216432,0.262249226,0.512102749
bunka,5439216433,0.245135734,0.495111839
bunka,5439216434,0.278212667,0.527458687
bunka,5439216442,0.314878163,0.561140056
bunka,5439216443,0.315117421,0.561353206
bunka,5439216444,0.35151454,0.592886616
bunka,5439216511,0.262341341,0.512192679
bunka,5439216512,0.260791216,0.510677213
bunka,5439216513,0.290251557,0.538749995
bunka,5439216514,0.285741816,0.534548235
bunka,5439216531,0.323633728,0.568888151
bunka,5439216532,0.313652507,0.560046879
bunka,5439216533,0.365553782,0.604610438
bunka,5439216534,0.343486635,0.586077329
bunka,5439216541,0.294145873,0.542352167
bunka,5439216542,0.273330084,0.522809798
bunka,5439216543,0.312835195,0.559316721
bunka,5439216544,0.285655746,0.534467722
bunka,5439216631,0.2541823,0.504164953
bunka,5439216632,0.237300214,0.487134698
bunka,5439216633,0.262909964,0.512747466
bunka,5439216634,0.243857917,0.493819721
bunka,5439216643,0.22772374,0.477204086
bunka,5439216644,0.213897336,0.462490363
bunka,5439217121,0.062257967,0.249515465
bunka,5439217122,0.073212946,0.270578908
bunka,5439217124,0.077132286,0.277726998
bunka,5439217211,0.085511133,0.292422866
bunka,5439217212,0.099249022,0.315038128
bunka,5439217213,0.089362362,0.298935382
bunka,5439217221,0.114544834,0.338444728
bunka,5439217222,0.131549351,0.362697328
bunka,5439217223,0.118170789,0.343759783
bunka,5439217224,0.135023973,0.367456083
bunka,5439217231,0.092654979,0.304392804
bunka,5439217234,0.108455087,0.3293252
bunka,5439217242,0.13743613,0.370723792
bunka,5439217311,0.150461208,0.387893295
bunka,5439217312,0.17154983,0.414185744
bunka,5439217313,0.153762098,0.392125105
bunka,5439217314,0.174656594,0.417919362
bunka,5439217321,0.195192224,0.441805641
bunka,5439217322,0.221936413,0.471101277
bunka,5439217323,0.198086082,0.445068627
bunka,5439217324,0.224600303,0.473920144
bunka,5439217331,0.15570363,0.394592993
bunka,5439217332,0.175983047,0.419503334
bunka,5439217333,0.15635934,0.395422988
bunka,5439217334,0.175667257,0.419126779
bunka,5439217341,0.198576771,0.445619537
bunka,5439217342,0.223885499,0.473165403
bunka,5439217343,0.196923184,0.443760277
bunka,5439217344,0.220300404,0.469361699
bunka,5439217411,0.252620375,0.502613545
bunka,5439217412,0.288618264,0.537232039
bunka,5439217413,0.255040943,0.505015785
bunka,5439217414,0.290795733,0.539254794
bunka,5439217421,0.332402072,0.576543209
bunka,5439217422,0.388416657,0.623230822
bunka,5439217423,0.334402272,0.578275256
bunka,5439217424,0.390801339,0.625141056
bunka,5439217431,0.252429314,0.502423441
bunka,5439217432,0.284796725,0.533663494
bunka,5439217433,0.245881434,0.49586433
bunka,5439217434,0.273372358,0.522850225
bunka,5439217441,0.32110559,0.566661795
bunka,5439217442,0.357321756,0.597763964
bunka,5439217443,0.301203642,0.548820227
bunka,5439217444,0.32422638,0.569408799
bunka,5439217512,0.368375954,0.606939828
bunka,5439217513,0.427625818,0.65393105
bunka,5439217514,0.37019145,0.608433604
bunka,5439217521,0.325345493,0.570390649
bunka,5439217522,0.29338399,0.541649324
bunka,5439217523,0.3269105,0.571760876
bunka,5439217524,0.294888846,0.543036689
bunka,5439217531,0.371306481,0.609349227
bunka,5439217532,0.348537851,0.590370943
bunka,5439217533,0.332420357,0.576559066
bunka,5439217534,0.32193548,0.567393585
bunka,5439217541,0.31753606,0.56350338
bunka,5439217542,0.290194941,0.538697448
bunka,5439217543,0.302061338,0.549601072
bunka,5439217544,0.280971818,0.530067748
bunka,5439217611,0.268345649,0.518020897
bunka,5439217612,0.248010563,0.49800659
bunka,5439217613,0.269808041,0.519430497
bunka,5439217614,0.249426378,0.499426048
bunka,5439217621,0.231075147,0.480702764
bunka,5439217622,0.21670634,0.465517282
bunka,5439217623,0.232439009,0.48211929
bunka,5439217624,0.218014794,0.466920544
bunka,5439217631,0.267313045,0.517023254
bunka,5439217632,0.248113684,0.498110112
bunka,5439217633,0.261567461,0.511436664
bunka,5439217634,0.24441723,0.494385709
bunka,5439217641,0.231818854,0.481475705
bunka,5439217642,0.21782338,0.466715524
bunka,5439217643,0.229400462,0.478957683
bunka,5439217644,0.216239691,0.465015796
bunka,5439217711,0.204337821,0.452037411
bunka,5439217713,0.20558939,0.453419662
bunka,5439217733,0.204654223,0.452387249
bunka,5439217734,0.194399094,0.440907126
bunka,5439217742,0.177244569,0.421004239
bunka,5439217743,0.185270042,0.430430067
bunka,5439217744,0.177099099,0.420831438
bunka,5439217821,0.155389339,0.394194544
bunka,5439217822,0.149870637,0.387131292
bunka,5439217823,0.156325734,0.395380493
bunka,5439217824,0.150762492,0.388281459
bunka,5439217833,0.169748373,0.412005307
bunka,5439217841,0.156884874,0.396086953
bunka,5439217842,0.151329308,0.389010678
bunka,5439217843,0.157072701,0.396323985
bunka,5439217844,0.151575195,0.389326592
bunka,5439217914,0.141047124,0.37556241
bunka,5439217923,0.136781983,0.369840483
bunka,5439217931,0.14625769,0.382436518
bunka,5439217932,0.141610538,0.376311756
bunka,5439217934,0.141929195,0.376734914
bunka,5439217941,0.137337719,0.37059104
bunka,5439217943,0.137677777,0.371049561
bunka,5439218244,0.136282659,0.369164813
bunka,5439218311,0.155876938,0.394812535
bunka,5439218312,0.173958776,0.417083656
bunka,5439218314,0.17116157,0.413716775
bunka,5439218321,0.193557662,0.439951886
bunka,5439218322,0.214627771,0.463279366
bunka,5439218323,0.188968171,0.434704694
bunka,5439218324,0.207663984,0.455701639
bunka,5439218331,0.152281819,0.390233031
bunka,5439218332,0.167581156,0.409366775
bunka,5439218333,0.149573303,0.386747079
bunka,5439218334,0.163489123,0.404337882
bunka,5439218341,0.183604878,0.428491398
bunka,5439218342,0.200060042,0.44728072
bunka,5439218343,0.177832437,0.421701834
bunka,5439218344,0.192278729,0.438495985
bunka,5439218411,0.236900828,0.486724592
bunka,5439218412,0.259582662,0.509492554
bunka,5439218413,0.226787651,0.476222271
bunka,5439218414,0.245411027,0.495389773
bunka,5439218421,0.280753562,0.529861833
bunka,5439218422,0.296674589,0.544678427
bunka,5439218423,0.2618759,0.511738116
bunka,5439218424,0.273765481,0.523226033
bunka,5439218431,0.216424142,0.465214082
bunka,5439218432,0.231833736,0.481491159
bunka,5439218433,0.206323816,0.454228814
bunka,5439218434,0.219239524,0.468230204
bunka,5439218441,0.245015328,0.49499023
bunka,5439218442,0.254429408,0.50440996
bunka,5439218443,0.230087617,0.479674491
bunka,5439218444,0.237869835,0.487719012
bunka,5439218511,0.302711496,0.550192236
bunka,5439218512,0.297532753,0.545465629
bunka,5439218513,0.278755215,0.527972741
bunka,5439218514,0.276286185,0.525629323
bunka,5439218521,0.284862205,0.53372484
bunka,5439218522,0.269311467,0.518952278
bunka,5439218523,0.268102833,0.517786475
bunka,5439218524,0.256802898,0.506757238
bunka,5439218531,0.258809782,0.508733508
bunka,5439218532,0.257884519,0.507823315
bunka,5439218533,0.241844543,0.491776924
bunka,5439218534,0.241862533,0.491795215
bunka,5439218541,0.252568628,0.502562064
bunka,5439218542,0.244383118,0.494351209
bunka,5439218543,0.238445002,0.488308306
bunka,5439218544,0.232523048,0.482206437
bunka,5439218611,0.253608823,0.503595892
bunka,5439218612,0.23889007,0.488763818
bunka,5439218613,0.244420974,0.494389496
bunka,5439218614,0.232129321,0.481798009
bunka,5439218621,0.225499267,0.474867631
bunka,5439218623,0.220485141,0.469558454
bunka,5439218624,0.209702888,0.457933279
bunka,5439218631,0.234746525,0.484506476
bunka,5439218632,0.224659121,0.473982194
bunka,5439218633,0.225072284,0.474417837
bunka,5439218641,0.214716653,0.463375283
bunka,5439218642,0.20523131,0.453024625
bunka,5439218643,0.208501266,0.456619389
bunka,5439218712,0.192963006,0.439275547
bunka,5439218714,0.190822039,0.43683182
