mesh_code,y0-4,y5-9,y10-14,y15-19,y20-24,y25-29,y30-34,y35-39,y40-44,y45-49,y50-54,y55-59,y60-64,y65-69,y70-74,y75-79,y80-84,y85-89,y90-94,y95-99,y100-104
5439104543,0.00 ,0.00 ,0.00 ,1.00 ,0.88 ,0.93 ,1.01 ,1.16 ,1.33 ,1.17 ,1.08 ,1.14 ,1.32 ,2.18 ,1.82 ,1.99 ,1.52 ,0.96 ,0.43 ,0.09 ,0.01 
5439104631,0.30 ,0.33 ,0.37 ,0.00 ,1.05 ,1.11 ,1.21 ,1.39 ,1.59 ,1.40 ,1.29 ,1.37 ,1.58 ,3.27 ,2.73 ,1.59 ,1.22 ,0.77 ,0.34 ,0.07 ,0.01 
5439104633,0.00 ,0.00 ,0.00 ,0.00 ,0.70 ,0.74 ,0.81 ,0.93 ,1.06 ,0.94 ,0.86 ,0.91 ,1.05 ,2.18 ,1.82 ,2.79 ,2.13 ,1.34 ,0.60 ,0.13 ,0.01 
5439105512,0.90 ,1.00 ,1.11 ,0.00 ,0.44 ,0.46 ,0.50 ,0.58 ,0.66 ,0.58 ,0.54 ,0.57 ,0.66 ,2.18 ,1.82 ,1.59 ,1.22 ,0.77 ,0.34 ,0.07 ,0.01 
5439105611,0.30 ,0.33 ,0.37 ,1.00 ,1.76 ,1.85 ,2.01 ,2.31 ,2.65 ,2.34 ,2.15 ,2.28 ,2.63 ,2.72 ,2.28 ,1.99 ,1.52 ,0.96 ,0.43 ,0.09 ,0.01 
5439105613,0.00 ,0.00 ,0.00 ,0.00 ,0.53 ,0.56 ,0.60 ,0.69 ,0.80 ,0.70 ,0.65 ,0.68 ,0.79 ,3.27 ,2.73 ,2.39 ,1.83 ,1.15 ,0.51 ,0.11 ,0.01 
5439105631,0.60 ,0.66 ,0.74 ,0.00 ,1.32 ,1.39 ,1.51 ,1.74 ,1.99 ,1.75 ,1.62 ,1.71 ,1.98 ,3.81 ,3.19 ,1.20 ,0.91 ,0.57 ,0.26 ,0.05 ,0.01 
5439105634,0.00 ,0.00 ,0.00 ,0.00 ,0.35 ,0.37 ,0.40 ,0.46 ,0.53 ,0.47 ,0.43 ,0.46 ,0.53 ,1.63 ,1.37 ,1.20 ,0.91 ,0.57 ,0.26 ,0.05 ,0.01 
5439106524,0.00 ,0.00 ,0.00 ,0.00 ,0.44 ,0.46 ,0.50 ,0.58 ,0.66 ,0.58 ,0.54 ,0.57 ,0.66 ,2.18 ,1.82 ,1.59 ,1.22 ,0.77 ,0.34 ,0.07 ,0.01 
5439106534,0.00 ,0.00 ,0.00 ,0.00 ,0.35 ,0.37 ,0.40 ,0.46 ,0.53 ,0.47 ,0.43 ,0.46 ,0.53 ,1.09 ,0.91 ,1.20 ,0.91 ,0.57 ,0.26 ,0.05 ,0.01 
5439106612,0.00 ,0.00 ,0.00 ,0.00 ,0.88 ,0.93 ,1.01 ,1.16 ,1.33 ,1.17 ,1.08 ,1.14 ,1.32 ,2.72 ,2.28 ,2.79 ,2.13 ,1.34 ,0.60 ,0.13 ,0.01 
5439106634,0.00 ,0.00 ,0.00 ,0.00 ,0.62 ,0.65 ,0.71 ,0.81 ,0.93 ,0.82 ,0.75 ,0.80 ,0.92 ,5.45 ,4.55 ,1.59 ,1.22 ,0.77 ,0.34 ,0.07 ,0.01 
5439107621,0.00 ,0.00 ,0.00 ,5.00 ,2.46 ,2.59 ,2.82 ,3.24 ,3.72 ,3.27 ,3.01 ,3.19 ,3.69 ,3.27 ,2.73 ,3.19 ,2.44 ,1.53 ,0.69 ,0.14 ,0.01 
5439107644,0.00 ,0.00 ,0.00 ,1.00 ,1.05 ,1.11 ,1.21 ,1.39 ,1.59 ,1.40 ,1.29 ,1.37 ,1.58 ,2.72 ,2.28 ,1.20 ,0.91 ,0.57 ,0.26 ,0.05 ,0.01 
5439108622,0.30 ,0.33 ,0.37 ,1.00 ,0.70 ,0.74 ,0.81 ,0.93 ,1.06 ,0.94 ,0.86 ,0.91 ,1.05 ,3.81 ,3.19 ,1.59 ,1.22 ,0.77 ,0.34 ,0.07 ,0.01 
5439108624,0.00 ,0.00 ,0.00 ,0.00 ,0.70 ,0.74 ,0.81 ,0.93 ,1.06 ,0.94 ,0.86 ,0.91 ,1.05 ,1.63 ,1.37 ,2.39 ,1.83 ,1.15 ,0.51 ,0.11 ,0.01 
