age,åˆñØäŸ,ésñØäàìÆé{ê›,ï∂âªé{ê›,ÉXÉ|Å[Écé{ê›,éYã∆êUãªé{ê›,ê}èëäŸ,éëóøäŸìô,äwçZ,ï€åØÅEïüéÉä÷òAé{ê›,ï€àÁèä,éôì∂é{ê›,í°é…ìô,ïaâ@,ÉXÅ[ÉpÅ[
y0-4,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0
y5-9,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0
y10-14,0.77,0.57,1.54,6.26,0.11,9.49,0.35,1.84,2.08,11.88,1.48,3.81,17.7,0
y15-19,0.77,0.57,1.54,6.26,0.11,9.49,0.35,1.84,2.08,11.88,1.48,3.81,19.5,0
y20-24,0.77,0.57,1.54,6.26,0.11,9.49,0.35,1.84,2.08,11.88,1.48,3.81,19.5,118.31
y25-29,0.77,0.57,1.54,6.26,0.11,9.49,0.35,1.84,2.08,11.88,1.48,3.81,19.5,118.31
y30-34,2.27,0.98,2.13,10.94,0.62,10.66,0.52,25.85,1.71,0.31,1.03,7.3,19.5,136.56
y35-39,2.27,0.98,2.13,10.94,0.62,10.66,0.52,25.85,1.71,0.31,1.03,7.3,19.5,136.56
y40-44,2.27,0.98,2.13,10.94,0.62,10.66,0.52,25.85,1.71,0.31,1.03,7.3,24.9,155.59
y45-49,2.27,0.98,2.13,10.94,0.62,10.66,0.52,25.85,1.71,0.31,1.03,7.3,24.9,155.59
y50-54,2.27,0.98,2.13,10.94,0.62,10.66,0.52,25.85,1.71,0.31,1.03,7.3,24.9,161.96
y55-59,2.27,0.98,2.13,10.94,0.62,10.66,0.52,25.85,1.71,0.31,1.03,7.3,24.9,161.96
y60-64,8.2,1.74,4.13,7.04,0.95,5.05,0.17,1.63,2.26,0.11,0.11,5.96,24.9,165.29
y65-69,8.2,1.74,4.13,7.04,0.95,5.05,0.17,1.63,2.26,0.11,0.11,5.96,28,165.29
y70-74,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,28,165.29
y75-79,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,33.6,165.29
y80-84,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,33.6,165.29
y85-89,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,33.6,165.29
y90-94,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,33.6,165.29
y95-99,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,33.6,165.29
y100-104,12.06,1.87,2.8,2.08,1.3,6.3,0.72,1.16,2.51,0.2,0.27,5.64,33.6,165.29
